,ID,Genre,Senior,Enfants,Anciennete,Multi-lignes,Service Internet,Autres Services,Partenaire,Contrat,Facturation electronique,Mode de paiement,charges mensuelles,Charges totales,target
"2662,3109,Femme,0,Oui,43,Non,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,106,""4532,3"",Non"
"2341,2741,Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,""44,4"",""44,4"",Oui"
"4414,5189,Homme,1,Non,30,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""101,5"",""2917,65"",Non"
"3733,4379,Femme,0,Non,67,Non,Non,Oui,Oui,Annuel,Oui,Virement bancaire,""20,85"",""1327,4"",Non"
"1264,1498,Femme,0,Oui,51,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""79,15"",""4018,55"",Non"
"990,1168,Homme,0,Non,26,Oui,DSL,Oui,Non,Annuel,Oui,Carte bancaire,""51,55"",""1295,4"",Non"
"3214,3775,Homme,1,Oui,52,Oui,DSL,Oui,Oui,Annuel,Oui,Cheque electronique,""80,85"",""4079,55"",Non"
"1739,2045,Homme,0,Non,7,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""19,5"",""128,6"",Non"
"2465,2878,Femme,0,Oui,61,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""99,15"",""6010,05"",Oui"
"353,417,Homme,0,Non,70,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,""98,7"",""6858,9"",Non"
"4559,5352,Femme,0,Non,12,Non,Fibre optique,Oui,Non,Annuel,Non,Cheque papier,""95,5"",""1115,15"",Oui"
"2445,2856,Homme,0,Oui,42,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""19,35"",""867,3"",Non"
"4196,4931,Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,""44,55"",""44,55"",Non"
"1489,1752,Homme,0,Non,14,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""89,95"",""1178,4"",Oui"
"5163,6071,Homme,0,Oui,61,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,81,""4976,15"",Non"
"1228,1456,Femme,0,Non,36,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""106,05"",""3834,4"",Non"
4086,4801,Homme,1,Non,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,94,94,Oui
"3119,3659,Femme,0,Non,10,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""54,25"",583,Non"
"5669,6672,Femme,0,Non,59,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque papier,""100,05"",""6034,85"",Non"
"52,58,Homme,1,Oui,66,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,""108,45"",""7076,35"",Non"
"5817,6845,Homme,0,Non,29,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,""89,65"",""2623,65"",Non"
"3922,4610,Homme,0,Oui,25,Oui,DSL,Oui,Oui,Annuel,Oui,Cheque papier,""55,1"",""1466,1"",Non"
"4309,5062,Femme,1,Oui,55,Oui,DSL,Oui,Oui,Annuel,Non,Cheque electronique,""76,25"",""4154,55"",Non"
"3628,4254,Homme,0,Oui,22,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""88,75"",""1885,15"",Non"
"1589,1873,Femme,0,Oui,41,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""19,7"",""804,25"",Non"
"1479,1739,Femme,0,Non,66,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""90,55"",""6130,95"",Non"
"1469,1729,Femme,0,Non,45,Non,DSL,Oui,Non,Bisannuel,Non,Virement bancaire,""81,65"",""3618,7"",Non"
"2763,3235,Femme,0,Oui,24,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""19,7"",""452,55"",Non"
"2895,3391,Homme,0,Non,56,Non,Non,Oui,Oui,Annuel,Non,Carte bancaire,""19,95"",""1126,75"",Non"
"2078,2441,Homme,0,Oui,32,Non,Non,Oui,Oui,Mensuel,Oui,Carte bancaire,""19,45"",""674,55"",Non"
"3429,4021,Homme,1,Non,72,Non,DSL,Non,Oui,Bisannuel,Oui,Carte bancaire,""64,95"",4546,Non"
"5897,6935,Homme,0,Non,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""104,15"",""7365,3"",Non"
"4396,5168,Femme,0,Non,57,Non,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,""70,35"",""4124,65"",Non"
"436,509,Femme,0,Oui,6,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""80,5"",""502,85"",Oui"
"4731,5569,Femme,0,Non,44,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,""95,1"",""4060,55"",Non"
"3859,4528,Femme,0,Non,39,Non,Fibre optique,Oui,Non,Bisannuel,Oui,Cheque electronique,""80,45"",""3201,55"",Oui"
"1588,1872,Femme,0,Oui,51,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""93,8"",""4539,35"",Non"
"4405,5179,Femme,0,Non,53,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""108,95"",""5718,2"",Non"
"1590,1875,Femme,0,Non,43,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""86,45"",""3574,5"",Non"
"3802,4461,Homme,0,Non,18,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""78,2"",""1468,75"",Non"
"973,1151,Femme,0,Non,41,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,""40,35"",""1677,85"",Non"
"1238,1468,Femme,0,Non,23,Oui,DSL,Oui,Non,Annuel,Oui,Cheque papier,""73,75"",""1756,6"",Non"
"2342,2742,Homme,1,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""89,5"",""477,7"",Oui"
"5380,6326,Femme,0,Oui,17,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""91,85"",""1574,45"",Oui"
"4579,5376,Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""50,8"",""50,8"",Oui"
"5107,6004,Femme,0,Non,71,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,""93,2"",""6506,15"",Non"
"2231,2615,Femme,0,Oui,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,""94,35"",""6341,45"",Oui"
"3958,4652,Femme,0,Non,15,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""86,2"",""1270,2"",Oui"
"1497,1760,Homme,0,Non,20,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""19,4"",""415,4"",Non"
"449,523,Homme,0,Oui,55,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Virement bancaire,""85,5"",""4713,4"",Non"
"2369,2773,Femme,0,Oui,67,Oui,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,74,""4868,4"",Non"
"5770,6790,Femme,0,Non,1,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,""20,2"",""20,2"",Oui"
"2422,2831,Homme,0,Non,60,Non,DSL,Oui,Non,Bisannuel,Non,Cheque electronique,""61,4"",""3638,25"",Non"
"5373,6317,Homme,0,Oui,63,Oui,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""25,25"",""1573,05"",Non"
"3063,3591,Femme,0,Non,50,Non,Non,Oui,Oui,Annuel,Oui,Virement bancaire,""19,85"",""943,1"",Non"
"1551,1826,Femme,0,Non,32,Oui,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""54,2"",""1739,6"",Non"
"5400,6351,Homme,0,Oui,3,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,""20,05"",""75,45"",Non"
"1146,1357,Femme,0,Non,9,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""75,2"",""633,85"",Non"
"3710,4354,Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""74,9"",""74,9"",Oui"
"2092,2455,Femme,0,Non,71,Oui,Non,Oui,Non,Bisannuel,Non,Cheque electronique,""24,55"",""1719,15"",Non"
"1313,1551,Homme,1,Non,6,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""80,8"",""457,1"",Non"
"2015,2366,Homme,1,Non,18,Oui,Fibre optique,Oui,Non,Mensuel,Non,Virement bancaire,""93,9"",""1743,9"",Non"
"3246,3811,Homme,0,Oui,1,Non,DSL,Oui,Oui,Mensuel,Non,Cheque electronique,""44,55"",""44,55"",Non"
"4987,5864,Femme,0,Non,21,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""97,35"",""2119,5"",Oui"
"4620,5426,Femme,0,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""100,45"",""3096,9"",Non"
"1381,1627,Homme,0,Non,20,Oui,DSL,Oui,Non,Mensuel,Non,Virement bancaire,""59,2"",""1191,2"",Non"
"3227,3791,Homme,0,Non,2,Non,Non,Oui,Non,Annuel,Non,Carte bancaire,""19,3"",""28,3"",Oui"
"413,482,Femme,0,Non,48,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,""45,3"",2145,Oui"
"941,1109,Femme,0,Non,69,Oui,Non,Oui,Non,Bisannuel,Non,Carte bancaire,""24,6"",""1678,05"",Non"
"801,942,Femme,0,Oui,13,Non,DSL,Non,Non,Mensuel,Non,Cheque electronique,""30,15"",""382,2"",Non"
"2929,3438,Femme,0,Non,41,Oui,DSL,Oui,Non,Annuel,Oui,Carte bancaire,""56,3"",2364,Non"
"3578,4197,Femme,0,Oui,70,Oui,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""24,05"",""1764,75"",Non"
"256,301,Homme,0,Non,23,Non,DSL,Oui,Non,Annuel,Oui,Virement bancaire,""64,9"",""1509,8"",Non"
"5872,6908,Femme,0,Non,41,Non,Fibre optique,Oui,Non,Mensuel,Non,Virement bancaire,""70,25"",""2868,05"",Oui"
"2235,2619,Homme,0,Oui,25,Non,Non,Oui,Oui,Annuel,Non,Cheque electronique,""19,9"",""505,45"",Non"
"647,762,Femme,0,Non,22,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""89,25"",""1907,85"",Oui"
"1767,2079,Homme,0,Oui,16,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,""55,85"",""857,8"",Non"
"4093,4809,Femme,0,Non,54,Non,DSL,Oui,Non,Bisannuel,Non,Cheque electronique,""80,6"",""4299,95"",Non"
"2481,2899,Femme,0,Non,6,Non,DSL,Non,Non,Bisannuel,Oui,Cheque papier,""63,4"",""348,8"",Non"
"5011,5892,Homme,0,Non,11,Non,DSL,Non,Non,Annuel,Oui,Cheque electronique,""41,6"",""470,6"",Oui"
"3653,4285,Femme,1,Non,32,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""90,95"",""2897,95"",Non"
"24,29,Homme,0,Non,72,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,""90,25"",""6369,45"",Non"
"1088,1287,Femme,0,Non,1,Non,DSL,Oui,Non,Annuel,Non,Carte bancaire,""74,1"",""74,1"",Non"
"2820,3306,Homme,1,Non,38,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""94,75"",3653,Non"
"2618,3057,Homme,0,Oui,50,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,""70,5"",""3486,65"",Non"
"112,128,Homme,0,Non,72,Oui,Non,Oui,Oui,Bisannuel,Oui,Virement bancaire,""23,55"",""1723,95"",Non"
"2311,2706,Femme,0,Non,72,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""25,65"",1887,Non"
"2754,3224,Homme,0,Non,3,Non,DSL,Non,Oui,Mensuel,Non,Carte bancaire,""29,8"",""94,4"",Non"
"56,63,Homme,0,Non,72,Non,DSL,Non,Oui,Bisannuel,Non,Virement bancaire,""42,1"",2962,Non"
"1309,1547,Femme,0,Non,60,Non,Non,Oui,Non,Bisannuel,Non,Virement bancaire,""19,85"",""1128,1"",Non"
"695,819,Homme,0,Non,21,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""111,2"",""2317,1"",Oui"
"4354,5119,Femme,0,Non,42,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,""85,9"",""3729,75"",Non"
"1227,1455,Homme,0,Oui,29,Non,Non,Oui,Oui,Mensuel,Oui,Cheque papier,""20,65"",""654,85"",Non"
"1999,2345,Femme,1,Non,14,Non,DSL,Non,Non,Bisannuel,Non,Cheque papier,""39,7"",""692,35"",Non"
"276,325,Homme,0,Non,69,Non,DSL,Non,Non,Bisannuel,Oui,Virement bancaire,""60,05"",""4176,7"",Non"
"2647,3091,Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,""53,5"",""53,5"",Oui"
"2892,3388,Femme,0,Non,7,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,65"",""155,9"",Non"
"1833,2155,Femme,0,Oui,24,Non,Non,Oui,Non,Bisannuel,Non,Cheque papier,""19,75"",""498,1"",Non"
"682,801,Femme,1,Non,70,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""75,65"",""5411,4"",Non"
"4866,5726,Femme,0,Oui,18,Oui,Non,Oui,Oui,Bisannuel,Oui,Carte bancaire,""24,65"",""471,35"",Non"
"4322,5079,Femme,0,Oui,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,""100,25"",6689,Non"
"1137,1346,Femme,0,Non,57,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,""100,75"",5985,Non"
"3984,4686,Femme,0,Non,46,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""108,9"",""4854,3"",Non"
"3441,4036,Homme,0,Oui,52,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""93,25"",""4631,7"",Non"
"3799,4458,Homme,0,Oui,22,Non,Fibre optique,Oui,Oui,Mensuel,Non,Virement bancaire,75,""1573,95"",Non"
"4577,5374,Homme,0,Non,71,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,""105,25"",""7291,75"",Non"
"5005,5883,Femme,0,Oui,14,Non,Non,Oui,Oui,Bisannuel,Oui,Cheque papier,""19,7"",""263,65"",Non"
"1346,1588,Homme,0,Oui,48,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,""26,3"",""1245,05"",Non"
"4811,5658,Homme,0,Non,18,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""94,75"",""1691,9"",Non"
"5947,6996,Homme,0,Oui,57,Oui,DSL,Oui,Non,Bisannuel,Non,Cheque papier,""89,55"",""5012,35"",Non"
"5443,6402,Femme,0,Oui,3,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,""55,1"",""154,65"",Oui"
"2384,2789,Homme,0,Oui,71,Oui,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,""85,45"",""6028,95"",Non"
"3898,4580,Homme,0,Non,31,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""81,15"",""2640,55"",Non"
"4166,4895,Homme,1,Non,57,Oui,DSL,Oui,Oui,Annuel,Oui,Carte bancaire,""71,1"",""4140,1"",Non"
"5168,6076,Femme,0,Non,10,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,""64,9"",""685,55"",Non"
"5074,5966,Homme,0,Oui,36,Non,DSL,Oui,Oui,Annuel,Oui,Carte bancaire,""63,7"",""2188,5"",Non"
"4420,5195,Homme,0,Oui,22,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""89,4"",""2001,5"",Oui"
"3631,4259,Femme,1,Non,43,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque papier,""109,55"",""4830,25"",Oui"
"5479,6445,Homme,0,Oui,31,Oui,DSL,Oui,Non,Annuel,Oui,Cheque papier,""79,45"",""2587,7"",Oui"
"4975,5850,Homme,0,Non,63,Non,Non,Oui,Oui,Bisannuel,Oui,Virement bancaire,""19,95"",""1234,8"",Non"
"4913,5780,Femme,0,Non,39,Non,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,""95,55"",""3692,85"",Oui"
"81,89,Femme,0,Oui,46,Non,Non,Oui,Oui,Bisannuel,Oui,Cheque papier,""19,95"",""927,1"",Non"
"1972,2317,Homme,0,Non,4,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,7"",""73,05"",Non"
"1714,2020,Homme,0,Non,67,Oui,Fibre optique,Oui,Oui,Annuel,Non,Cheque electronique,""104,1"",""7040,85"",Oui"
"2776,3251,Homme,0,Non,11,Non,Non,Oui,Oui,Annuel,Oui,Cheque papier,""20,55"",""184,95"",Non"
"4421,5196,Homme,0,Non,72,Non,DSL,Oui,Non,Bisannuel,Oui,Virement bancaire,""75,1"",""5336,35"",Non"
"1946,2289,Femme,0,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""85,3"",""420,45"",Non"
"3296,3871,Femme,0,Non,68,Non,DSL,Non,Oui,Annuel,Oui,Cheque electronique,""54,4"",""3723,65"",Non"
"3573,4191,Femme,0,Non,11,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,""96,2"",""1222,05"",Oui"
"4192,4925,Femme,0,Non,1,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,""35,75"",""35,75"",Oui"
"1610,1897,Homme,0,Non,38,Oui,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""69,95"",""2657,55"",Non"
"3220,3782,Homme,0,Non,29,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""19,1"",""529,5"",Non"
"2873,3367,Homme,0,Non,31,Non,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,""93,8"",""2939,8"",Non"
"4398,5171,Femme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""19,65"",""19,65"",Non"
"5849,6884,Femme,0,Oui,34,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""105,35"",""3688,6"",Non"
"5257,6174,Homme,1,Non,35,Oui,Fibre optique,Oui,Non,Mensuel,Non,Carte bancaire,91,""3180,5"",Non"
"665,782,Femme,0,Oui,5,Non,DSL,Oui,Oui,Mensuel,Non,Cheque papier,""44,8"",""220,45"",Non"
2194,2573,Femme,0,Non,71,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,25,1753,Non
"3703,4344,Femme,1,Non,8,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""75,75"",""606,25"",Oui"
"5087,5983,Homme,0,Non,15,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""19,8"",""304,6"",Non"
"1017,1199,Femme,0,Non,42,Non,Non,Oui,Non,Bisannuel,Oui,Virement bancaire,""20,75"",""844,45"",Non"
"557,651,Femme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""69,55"",""222,3"",Oui"
"4370,5135,Homme,1,Non,15,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""80,2"",""1217,25"",Oui"
"4845,5699,Homme,0,Oui,21,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,""104,4"",""2157,95"",Oui"
"1207,1428,Homme,1,Non,44,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""73,85"",""3122,4"",Non"
"3985,4687,Femme,1,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,""107,4"",""7748,75"",Non"
"4055,4765,Homme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,""45,15"",""98,5"",Oui"
"1510,1776,Homme,1,Non,65,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Cheque electronique,""109,05"",""7108,2"",Non"
"2646,3090,Femme,0,Non,68,Non,DSL,Oui,Non,Bisannuel,Oui,Carte bancaire,""82,45"",""5646,6"",Non"
"3662,4296,Homme,1,Non,67,Non,DSL,Oui,Oui,Annuel,Oui,Virement bancaire,""60,95"",""4119,4"",Non"
"4039,4747,Homme,0,Non,2,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""76,5"",""162,45"",Oui"
"4043,4753,Homme,0,Non,23,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""20,45"",""481,1"",Non"
"266,311,Femme,0,Non,1,Non,Non,Oui,Non,Mensuel,Oui,Virement bancaire,""19,25"",""19,25"",Non"
"3866,4536,Femme,0,Oui,30,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""100,05"",""3046,15"",Oui"
"5745,6763,Homme,0,Non,35,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,55,""2010,55"",Oui"
"2111,2478,Homme,0,Non,3,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,""86,05"",""244,85"",Non"
"2926,3432,Homme,0,Non,24,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""101,05"",""2391,8"",Oui"
"1909,2246,Femme,0,Non,69,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Virement bancaire,""105,35"",""7240,65"",Non"
"5123,6026,Femme,0,Oui,41,Non,DSL,Oui,Non,Mensuel,Non,Virement bancaire,""45,2"",""1841,9"",Non"
"3877,4551,Femme,0,Oui,72,Oui,Non,Oui,Oui,Bisannuel,Oui,Virement bancaire,""26,25"",""1988,05"",Non"
"4734,5572,Homme,0,Non,61,Oui,DSL,Oui,Oui,Annuel,Oui,Cheque electronique,""79,8"",""4914,8"",Non"
"5521,6498,Homme,0,Non,52,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""103,05"",""5364,8"",Non"
"3196,3752,Homme,0,Non,60,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""109,45"",""6572,85"",Non"
"1784,2098,Homme,0,Non,9,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""94,05"",""811,65"",Non"
"1237,1466,Homme,0,Oui,1,Non,Fibre optique,Oui,Oui,Mensuel,Non,Carte bancaire,""74,6"",""74,6"",Non"
"5132,6037,Femme,0,Non,53,Non,Fibre optique,Oui,Oui,Annuel,Non,Cheque electronique,""110,5"",""5835,5"",Non"
"5316,6248,Homme,0,Non,60,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Cheque electronique,""89,55"",""5231,2"",Non"
"3842,4509,Femme,0,Oui,22,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,""19,9"",""400,3"",Non"
"4852,5708,Femme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Cheque electronique,""45,55"",""84,4"",Non"
"5906,6947,Femme,0,Oui,48,Non,DSL,Non,Non,Mensuel,Non,Carte bancaire,""45,55"",""2108,35"",Non"
"2186,2562,Femme,0,Oui,71,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,99,""7061,65"",Non"
"3426,4018,Femme,0,Non,28,Oui,DSL,Oui,Non,Annuel,Non,Cheque papier,59,""1654,45"",Non"
"908,1072,Femme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,""49,05"",""91,1"",Oui"
"5025,5909,Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,2"",""20,2"",Oui"
"1303,1541,Homme,0,Oui,63,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,""80,3"",""4896,35"",Non"
"5588,6577,Femme,0,Non,2,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,""20,3"",""41,2"",Non"
"1627,1917,Femme,0,Non,44,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""84,8"",""3862,55"",Oui"
"1522,1792,Femme,0,Non,44,Non,DSL,Oui,Oui,Annuel,Oui,Cheque papier,""61,5"",""2722,2"",Non"
"835,982,Homme,0,Oui,40,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""19,6"",""808,95"",Non"
"358,422,Femme,0,Non,7,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""69,85"",""515,45"",Non"
"138,160,Homme,0,Non,10,Oui,Non,Oui,Non,Bisannuel,Non,Virement bancaire,""25,7"",""251,6"",Non"
"299,353,Femme,1,Non,7,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""89,15"",""574,35"",Non"
"1556,1832,Femme,1,Non,22,Oui,DSL,Oui,Oui,Mensuel,Oui,Cheque papier,""63,55"",""1381,8"",Non"
"1003,1184,Femme,0,Non,53,Non,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,""93,45"",""4872,2"",Non"
"382,447,Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque papier,""69,55"",""69,55"",Oui"
"2778,3253,Homme,0,Oui,17,Oui,DSL,Oui,Oui,Annuel,Oui,Cheque papier,""62,1"",""1096,65"",Non"
"761,900,Homme,0,Non,50,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,""94,4"",""4914,9"",Non"
"3585,4204,Femme,0,Oui,7,Non,Non,Oui,Non,Annuel,Non,Cheque papier,""20,05"",""96,8"",Non"
"2937,3447,Femme,0,Non,58,Oui,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,""107,75"",""6332,75"",Non"
"3105,3641,Homme,1,Non,29,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""95,9"",""2745,2"",Oui"
"4834,5687,Homme,1,Non,6,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,""85,15"",""503,6"",Oui"
"4939,5811,Femme,0,Oui,17,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""85,45"",""1451,6"",Oui"
"1402,1652,Homme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,""79,1"",""79,1"",Oui"
"2886,3381,Homme,1,Non,1,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,""95,1"",""95,1"",Oui"
"5851,6886,Homme,0,Oui,12,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,""73,75"",""871,4"",Oui"
"1932,2274,Homme,0,Non,30,Non,Non,Oui,Oui,Annuel,Non,Carte bancaire,""19,8"",""576,65"",Non"
"3599,4219,Homme,0,Non,7,Oui,Non,Oui,Non,Mensuel,Oui,Virement bancaire,""25,05"",""152,95"",Non"
"3771,4425,Homme,0,Oui,1,Non,DSL,Non,Non,Mensuel,Non,Cheque electronique,""24,75"",""24,75"",Oui"
"4765,5606,Homme,0,Oui,10,Non,DSL,Oui,Oui,Mensuel,Non,Cheque papier,""60,2"",""563,5"",Non"
"5109,6006,Homme,1,Non,60,Oui,DSL,Oui,Non,Annuel,Oui,Cheque electronique,""71,75"",""4374,55"",Non"
"3455,4052,Femme,0,Non,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,""97,7"",""6869,7"",Non"
"3844,4511,Femme,0,Non,38,Oui,DSL,Oui,Non,Mensuel,Non,Carte bancaire,""68,15"",""2656,3"",Non"
"4194,4928,Homme,0,Non,30,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,""19,05"",""637,55"",Non"
"58,65,Femme,0,Non,9,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,""94,4"",""857,25"",Oui"
"76,83,Femme,0,Non,7,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,""75,15"",""496,9"",Oui"
