Genre,Senior,Enfants,Anciennete,Multi_lignes,Service_Internet,Autres_Services,Partenaire,Contrat,Facturation_electronique,Mode_de_paiement,charges_mensuelles,Charges_totales,target
Femme,1,Non,6,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,44.4,263.05,Non
Homme,0,Non,4,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,48,55.201,Oui
Homme,1,Non,8,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,29.4,221.9,Oui
Femme,0,Oui,21,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,64.85,1336.8,Non
Homme,1,Non,18,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,80.55,1411.65,Non
Femme,1,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,104.1,3121.1,Non
Femme,0,Non,47,Non,Non,Oui,Non,Bisannuel,Oui,Cheque papier,20.55,945.7,Non
Homme,0,Non,49,Non,Non,Oui,Non,Bisannuel,Oui,Carte bancaire,19.9,1022.6,Non
Femme,0,Non,26,Non,DSL,Oui,Non,Annuel,Oui,Cheque papier,56.05,1553.2,Non
Homme,0,Non,23,Non,Non,Oui,Oui,Annuel,Non,Carte bancaire,19.3,486.2,Non
Homme,1,Non,35,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,94.55,3365.4,Non
Femme,1,Non,65,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,94.4,6126.15,Non
Homme,0,Oui,7,Non,DSL,Non,Oui,Mensuel,Non,Cheque papier,58.85,465.7,Non
Homme,0,Oui,64,Non,DSL,Oui,Oui,Annuel,Oui,Carte bancaire,73.05,4688.65,Non
Homme,0,Non,37,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,70.35,2552.9,Non
Homme,0,Oui,42,Oui,Fibre optique,Oui,Oui,Annuel,Non,Cheque electronique,97.1,4016.75,Non
Femme,0,Non,19,Non,Non,Oui,Non,Annuel,Non,Carte bancaire,20.25,383.65,Non
Homme,0,Non,9,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,24.95,190.25,Non
Femme,0,Oui,57,Oui,DSL,Oui,Oui,Mensuel,Non,Virement bancaire,65.2,3687.85,Non
Femme,0,Oui,22,Non,DSL,Oui,Oui,Annuel,Oui,Virement bancaire,69.5,1498.2,Oui
Femme,0,Oui,34,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,20.65,716.4,Non
Femme,0,Non,56,Non,Fibre optique,Oui,Oui,Bisannuel,Non,Virement bancaire,80.3,4513.65,Non
Femme,0,Non,47,Non,DSL,Oui,Oui,Annuel,Oui,Carte bancaire,66.05,3021.45,Non
Homme,1,Oui,71,Non,Non,Oui,Oui,Bisannuel,Non,Carte bancaire,19.8,1388.45,Non
Femme,0,Non,3,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,54.2,140.4,Non
Homme,1,Non,30,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,105.7,3181.8,Non
Homme,0,Non,24,Oui,Non,Oui,Non,Annuel,Non,Cheque electronique,24.6,592.65,Non
Homme,1,Non,32,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,85,2642.05,Oui
Femme,0,Non,51,Non,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,93.5,4619.55,Non
Femme,0,Oui,48,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,103.25,5037.55,Oui
Homme,1,Non,1,Non,DSL,Non,Oui,Mensuel,Non,Cheque electronique,25.05,25.05,Oui
Femme,0,Non,30,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,48.8,1536.75,Non
Femme,0,Oui,14,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,91,65.1301,Oui
Homme,0,Non,17,Non,Non,Oui,Non,Mensuel,Non,Carte bancaire,21.1,385.55,Non
Homme,0,Non,58,Non,Non,Oui,Non,Bisannuel,Oui,Virement bancaire,19.15,1035.5,Non
Femme,0,Non,54,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,103.95,5639.05,Oui
Femme,0,Oui,1,Non,Non,Oui,Oui,Mensuel,Non,Cheque electronique,20,20,Non
Homme,0,Non,64,Non,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,102.45,6654.1,Non
Femme,0,Non,45,Non,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,100.3,4483.95,Non
Femme,0,Non,5,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,75.55,413.65,Oui
Femme,0,Non,4,Non,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,105.65,443.9,Oui
Femme,1,Non,11,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,82.9,880.05,Non
Homme,0,Non,63,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,103,4.6603,Oui
Homme,0,Non,11,Oui,DSL,Oui,Non,Mensuel,Non,Cheque electronique,53,75.608,Oui
Homme,0,Non,60,Non,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,94.4,5610.25,Oui
Homme,1,Oui,38,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,80.45,3162.65,Non
Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,45.65,45.65,Oui
Homme,1,Non,29,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,84.3,2357.75,Non
Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque electronique,19.95,19.95,Oui
Femme,0,Oui,38,Non,DSL,Oui,Oui,Annuel,Non,Carte bancaire,80.3,3058.65,Oui
Homme,0,Non,24,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,19.75,483.15,Non
Femme,1,Non,38,Non,Non,Oui,Non,Bisannuel,Non,Cheque papier,20.2,735.9,Non
Femme,0,Non,31,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,104.35,3205.6,Non
Femme,0,Oui,10,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,88.85,929.45,Non
Femme,0,Oui,4,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,20.85,62.9,Non
Femme,0,Non,48,Oui,Non,Oui,Non,Annuel,Non,Virement bancaire,24.35,1133.7,Non
Femme,1,Non,29,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,45,1228.65,Non
Femme,1,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,55.8,55.8,Oui
Homme,0,Oui,66,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,84,5714.25,Non
Homme,0,Oui,45,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,109.75,4900.65,Non
Homme,0,Non,12,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,89.55,1021.75,Non
Femme,0,Non,33,Non,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,103.75,3361.05,Oui
Homme,0,Non,10,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,85.25,855.3,Oui
Homme,0,Non,6,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,60.9,414.1,Non
Homme,0,Non,62,Oui,Fibre optique,Oui,Non,Annuel,Non,Cheque electronique,102,6529.25,Oui
Homme,0,Non,68,Non,Fibre optique,Oui,Non,Annuel,Non,Carte bancaire,79.6,5461.45,Non
Femme,0,Non,35,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,62.1,2096.1,Non
Homme,0,Non,59,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,51.7,3005.8,Non
Homme,0,Oui,65,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,19.9,1292.6,Non
Femme,0,Oui,37,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,88.8,3340.55,Non
Femme,0,Oui,7,Non,DSL,Non,Oui,Mensuel,Oui,Cheque electronique,24.7,149.05,Non
Homme,0,Non,6,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,87.95,522.35,Non
Homme,0,Oui,27,Non,Non,Oui,Non,Bisannuel,Non,Cheque papier,20.6,581.85,Non
Femme,1,Non,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,105.4,7035.6,Non
Femme,1,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,75.55,349.65,Oui
Femme,1,Non,10,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,29.65,291.4,Oui
Homme,0,Non,70,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,114.95,7711.25,Non
Femme,0,Non,68,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,89.95,5974.3,Non
Femme,0,Non,69,Oui,Non,Oui,Oui,Bisannuel,Oui,Carte bancaire,24.95,1718.35,Non
Homme,0,Oui,33,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,20.6,690.25,Non
Femme,0,Oui,70,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,110.2,7689.8,Non
Homme,0,Non,72,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque electronique,85.25,6083.1,Non
Femme,0,Oui,33,Oui,Non,Oui,Oui,Annuel,Non,Carte bancaire,24.15,800.3,Non
Homme,0,Oui,69,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque papier,92.15,6480.9,Non
Homme,0,Oui,35,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,25.45,809.25,Non
Homme,0,Non,48,Non,DSL,Oui,Non,Bisannuel,Non,Carte bancaire,78.9,3771.5,Non
Femme,0,Non,7,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,80.3,526.7,Oui
Femme,1,Non,14,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,100.2,1369.8,Oui
Homme,1,Non,4,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque papier,74.4,306.6,Oui
Homme,0,Oui,68,Oui,Non,Oui,Oui,Bisannuel,Oui,Virement bancaire,24,1664.3,Non
Homme,0,Oui,39,Oui,Non,Oui,Oui,Bisannuel,Oui,Cheque papier,23.8,903.8,Non
Femme,0,Non,62,Non,Non,Oui,Non,Bisannuel,Oui,Carte bancaire,19.2,1123.65,Non
Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,45.35,45.35,Non
Femme,0,Non,50,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,19,35.1033,Non
Homme,0,Oui,15,Non,DSL,Oui,Non,Annuel,Non,Cheque papier,64.85,950.75,Non
Femme,0,Non,42,Non,DSL,Non,Non,Annuel,Oui,Cheque electronique,54.75,2348.45,Non
Femme,0,Non,53,Oui,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,106.95,5785.5,Oui
Homme,0,Oui,58,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,105.05,6004.85,Non
Homme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Carte bancaire,108.4,7767.25,Non
Homme,0,Non,61,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Carte bancaire,111.6,6876.05,Oui
Homme,0,Oui,19,Non,Non,Oui,Oui,Annuel,Non,Cheque papier,19.9,357.7,Non
Homme,0,Non,5,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,94.85,462.8,Oui
Homme,1,Non,71,Non,DSL,Non,Oui,Bisannuel,Non,Carte bancaire,46.35,3353.4,Non
Femme,0,Non,46,Oui,Non,Oui,Oui,Annuel,Oui,Virement bancaire,24.45,1066.15,Non
Homme,0,Non,24,Non,DSL,Oui,Non,Mensuel,Oui,Carte bancaire,51.1,1269.6,Non
Femme,0,Non,72,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,82.65,5919.35,Non
Homme,0,Oui,26,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,83.75,2070.6,Oui
Femme,0,Non,1,Non,Non,Oui,Non,Mensuel,Oui,Cheque papier,19.5,19.5,Non
Homme,0,Non,61,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,96.5,5673.7,Non
Femme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,48.45,48.45,Non
Homme,0,Non,24,Non,DSL,Oui,Non,Mensuel,Non,Virement bancaire,60.45,1440.75,Non
Femme,0,Non,55,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,89.8,4959.6,Non
Homme,0,Non,72,Oui,Fibre optique,Oui,Non,Bisannuel,Oui,Virement bancaire,100.9,7459.05,Non
Femme,0,Oui,69,Non,Non,Oui,Oui,Annuel,Oui,Carte bancaire,20.35,1442.65,Non
Homme,0,Oui,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Cheque electronique,111.3,7482.1,Oui
Homme,0,Oui,70,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque electronique,84.1,5979.7,Non
Homme,0,Oui,35,Non,Non,Oui,Oui,Annuel,Non,Cheque electronique,19,9.666,Non
Homme,0,Oui,1,Non,DSL,Non,Non,Mensuel,Non,Cheque papier,24.2,24.2,Non
Homme,0,Non,9,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,70.5,597.9,Non
Homme,0,Non,66,Oui,Non,Oui,Non,Annuel,Non,Virement bancaire,25.45,1699.15,Non
Femme,0,Oui,2,Non,DSL,Non,Oui,Mensuel,Oui,Cheque papier,24.4,36.55,Oui
Homme,0,Non,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,20.3,20.3,Non
Femme,1,Non,45,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,102.15,4735.35,Non
Homme,0,Non,4,Non,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,77.85,299.2,Oui
Homme,0,Oui,25,Non,Non,Oui,Oui,Annuel,Non,Cheque electronique,19.6,411.15,Non
Homme,0,Oui,1,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,71,71,Oui
Homme,1,Non,9,Non,Non,Oui,Oui,Mensuel,Oui,Cheque papier,21.25,204.55,Non
Homme,0,Non,68,Oui,Fibre optique,Oui,Non,Annuel,Non,Cheque electronique,108.45,7176.55,Oui
Femme,0,Oui,71,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,89.9,6342.7,Non
Homme,1,Non,30,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque papier,79.65,2365.15,Oui
Femme,0,Non,42,Non,DSL,Oui,Non,Bisannuel,Non,Carte bancaire,66.5,2762.75,Non
Homme,0,Non,28,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,105.7,2979.5,Oui
Homme,1,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,90.5,2595.85,Non
Homme,0,Non,51,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,94.65,4812.75,Oui
Femme,0,Non,5,Oui,Non,Oui,Non,Mensuel,Non,Cheque papier,25.45,134.75,Non
Homme,1,Non,68,Non,DSL,Non,Oui,Bisannuel,Oui,Cheque electronique,41.95,2965.75,Non
Femme,1,Non,60,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,110,6668.35,Non
Femme,0,Non,49,Non,DSL,Oui,Non,Bisannuel,Non,Virement bancaire,67.4,3306.85,Non
Femme,1,Non,48,Non,DSL,Oui,Oui,Annuel,Oui,Virement bancaire,58.95,2789.7,Non
Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,75.3,75.3,Oui
Homme,0,Oui,45,Non,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,84.35,3858.05,Non
Femme,0,Non,14,Non,DSL,Oui,Non,Annuel,Non,Carte bancaire,51.45,727.85,Non
Homme,0,Non,68,Oui,Fibre optique,Oui,Non,Annuel,Oui,Carte bancaire,117.2,8035.95,Non
Femme,0,Oui,67,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,69.9,4615.9,Non
Femme,0,Oui,71,Non,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,64.05,4492.9,Non
Femme,0,Non,2,Non,DSL,Non,Non,Mensuel,Oui,Cheque electronique,34.7,62.25,Oui
Homme,0,Oui,25,Oui,Non,Oui,Oui,Mensuel,Oui,Virement bancaire,25.4,546.85,Non
Femme,0,Non,17,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,83.55,1329.15,Non
Homme,0,Non,71,Oui,DSL,Oui,Oui,Bisannuel,Oui,Cheque papier,80.1,5585.4,Non
Femme,0,Non,72,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,86.4,6058.95,Non
Homme,0,Oui,24,Oui,Non,Oui,Oui,Bisannuel,Non,Cheque papier,24.2,609.05,Non
Femme,1,Non,13,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,70.15,916.75,Oui
Femme,0,Oui,19,Non,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,49.6,962.9,Non
Homme,0,Oui,32,Non,Fibre optique,Oui,Oui,Annuel,Non,Cheque papier,94.8,3131.55,Non
Homme,0,Non,17,Non,Fibre optique,Oui,Oui,Annuel,Oui,Virement bancaire,96.65,1588.25,Non
Femme,0,Non,59,Non,Fibre optique,Oui,Non,Bisannuel,Non,Cheque electronique,95.8,5655.45,Non
Homme,0,Oui,34,Oui,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,103.8,3470.8,Non
Femme,0,Oui,13,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,53.45,718.1,Non
Homme,0,Non,17,Non,Non,Oui,Non,Bisannuel,Non,Carte bancaire,19.45,369.05,Non
Homme,0,Non,61,Oui,DSL,Oui,Oui,Bisannuel,Oui,Virement bancaire,80.8,4860.85,Non
Homme,0,Non,2,Non,DSL,Oui,Non,Mensuel,Non,Virement bancaire,46.05,80.35,Oui
Homme,0,Oui,5,Oui,DSL,Oui,Oui,Mensuel,Non,Carte bancaire,64.4,316.9,Non
Femme,1,Non,9,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,74.55,622.9,Oui
Femme,1,Non,67,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,107.05,7142.5,Non
Femme,0,Oui,69,Non,DSL,Non,Oui,Bisannuel,Oui,Carte bancaire,54.95,3772.5,Non
Homme,0,Non,42,Oui,Fibre optique,Oui,Non,Mensuel,Non,Cheque electronique,79.9,3313.4,Non
Femme,0,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,96.25,512.45,Oui
Femme,0,Non,36,Oui,DSL,Oui,Non,Annuel,Non,Cheque electronique,55.8,1941.5,Non
Homme,0,Non,17,Non,Non,Oui,Non,Annuel,Oui,Virement bancaire,19.65,351.55,Non
Femme,1,Non,2,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,79.6,195.05,Oui
Homme,0,Non,47,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,95,2.4563,Non
Femme,0,Non,15,Non,Non,Oui,Non,Bisannuel,Non,Cheque papier,19.6,331.6,Non
Homme,0,Oui,60,Non,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,60.5,3694.45,Non
Femme,0,Non,60,Non,DSL,Oui,Non,Annuel,Oui,Carte bancaire,70.15,4224.7,Non
Homme,1,Non,47,Oui,DSL,Oui,Non,Bisannuel,Non,Virement bancaire,59,6.2754,Non
Femme,0,Oui,29,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,20.2,558.8,Non
Femme,1,Non,71,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Virement bancaire,104.05,7413.55,Non
Femme,0,Oui,33,Oui,Non,Oui,Oui,Mensuel,Non,Virement bancaire,24.25,838.5,Non
Femme,0,Oui,71,Non,DSL,Oui,Oui,Bisannuel,Non,Carte bancaire,77.55,5574.35,Non
Femme,0,Non,45,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,115.65,5125.5,Non
Femme,0,Oui,17,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,64.7,1093.1,Oui
Femme,0,Non,3,Oui,Non,Oui,Non,Mensuel,Non,Cheque papier,24.6,86.35,Non
Homme,0,Oui,28,Oui,Fibre optique,Oui,Oui,Annuel,Non,Virement bancaire,92.2,2568.15,Non
Homme,0,Non,65,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,90,65.5931,Non
Homme,0,Oui,23,Non,DSL,Non,Oui,Mensuel,Oui,Virement bancaire,30.35,678.75,Non
Homme,1,Non,71,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,107.5,7713.55,Non
Femme,1,Non,20,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,94.1,1782.4,Oui
Femme,0,Non,49,Non,Non,Oui,Oui,Annuel,Non,Virement bancaire,20.45,900.9,Non
Femme,0,Oui,22,Non,DSL,Non,Oui,Mensuel,Non,Cheque electronique,39.2,849.9,Non
Femme,0,Oui,38,Non,Non,Oui,Oui,Mensuel,Non,Cheque papier,20.45,781.25,Non
Femme,0,Non,17,Oui,DSL,Oui,Oui,Mensuel,Oui,Virement bancaire,75.4,1322.55,Non
Femme,0,Non,61,Oui,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,25.3,1554.9,Non
Homme,0,Oui,2,Non,Fibre optique,Oui,Oui,Mensuel,Non,Cheque papier,69.95,143.9,Non
Femme,0,Non,8,Oui,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,65.5,573.15,Non
Homme,0,Oui,37,Non,Non,Oui,Oui,Annuel,Non,Carte bancaire,19.8,677.05,Non
Homme,1,Non,37,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,92.5,3473.4,Oui
Femme,0,Oui,69,Non,Non,Oui,Oui,Bisannuel,Non,Virement bancaire,19.7,1396.9,Non
Femme,0,Non,10,Non,Non,Oui,Non,Annuel,Oui,Cheque papier,19.8,198.25,Non
Femme,0,Non,8,Non,Non,Oui,Oui,Mensuel,Non,Virement bancaire,20.15,156.25,Oui
Homme,0,Non,50,Non,Non,Oui,Oui,Bisannuel,Non,Cheque papier,20.55,1067.65,Non
Homme,0,Non,30,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Carte bancaire,89.9,2723.15,Non
Femme,0,Oui,4,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,85.95,381.3,Oui
Femme,0,Non,3,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,19.85,57.2,Non
Femme,0,Non,47,Non,Fibre optique,Oui,Non,Annuel,Oui,Cheque electronique,103.7,4730.6,Non
Femme,0,Non,24,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque papier,79.65,1928.7,Non
Femme,1,Oui,57,Non,Fibre optique,Oui,Oui,Mensuel,Oui,Carte bancaire,95.3,5567.45,Non
Femme,1,Non,2,Non,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,44.3,89.3,Non
Homme,0,Oui,35,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Cheque electronique,109.95,3782.4,Non
Homme,0,Non,34,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Cheque electronique,100.85,3527.3,Non
Homme,0,Oui,23,Non,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,55.3,1284.2,Non
Homme,1,Non,40,Non,DSL,Oui,Oui,Annuel,Non,Cheque electronique,55.8,2283.3,Non
Homme,0,Oui,7,Non,DSL,Oui,Oui,Mensuel,Non,Carte bancaire,69.7,516.15,Non
Femme,0,Oui,46,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Cheque papier,99.65,4630.2,Non
Homme,0,Non,26,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,85.75,2146.5,Non
Femme,0,Non,25,Non,Non,Oui,Oui,Annuel,Oui,Virement bancaire,20.2,507.9,Non
Homme,0,Non,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Virement bancaire,115.8,8424.9,Non
Homme,0,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,69.7,316.9,Oui
Homme,0,Oui,71,Non,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,73.35,5154.5,Non
Femme,0,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,81.1,81.1,Oui
Homme,0,Non,65,Oui,Fibre optique,Oui,Non,Bisannuel,Non,Carte bancaire,105.1,6631.85,Non
Femme,0,Oui,66,Oui,Fibre optique,Oui,Oui,Annuel,Oui,Carte bancaire,102.45,6615.15,Oui
Homme,0,Non,4,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,80.1,336.15,Non
Homme,0,Non,1,Non,DSL,Oui,Non,Mensuel,Non,Cheque papier,51.25,51.25,Oui
Femme,0,Non,52,Oui,Fibre optique,Oui,Oui,Mensuel,Non,Virement bancaire,94.6,5025.8,Non
Homme,0,Non,5,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Virement bancaire,75.9,357.75,Oui
Femme,0,Non,41,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,106.3,4443.45,Oui
Homme,0,Non,12,Oui,Non,Oui,Non,Annuel,Non,Carte bancaire,24.95,280.4,Non
Femme,0,Oui,36,Oui,DSL,Oui,Oui,Bisannuel,Oui,Carte bancaire,92.9,3379.25,Non
Homme,0,Oui,1,Non,Non,Oui,Non,Mensuel,Non,Cheque papier,19.75,19.75,Oui
Femme,0,Non,27,Non,DSL,Oui,Non,Mensuel,Oui,Cheque papier,56.15,1439.35,Non
Femme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,115.5,8425.15,Non
Homme,0,Non,59,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,111.35,6519.75,Non
Femme,1,Non,66,Oui,Fibre optique,Oui,Oui,Annuel,Non,Carte bancaire,104.6,6819.45,Non
Femme,1,Oui,24,Non,Fibre optique,Oui,Oui,Bisannuel,Oui,Cheque electronique,96.55,2263.45,Non
Homme,0,Oui,69,Oui,DSL,Oui,Oui,Bisannuel,Non,Virement bancaire,86.9,6194.1,Non
Homme,0,Non,1,Oui,DSL,Oui,Non,Mensuel,Oui,Cheque electronique,50.15,50.15,Non
Homme,0,Oui,1,Oui,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,93.3,93.3,Oui
Homme,0,Non,68,Oui,DSL,Oui,Non,Annuel,Oui,Carte bancaire,76,9.5023,Non
Femme,0,Oui,22,Non,Non,Oui,Non,Mensuel,Oui,Cheque electronique,20.55,469.85,Non
Homme,0,Non,49,Oui,Fibre optique,Oui,Non,Annuel,Oui,Virement bancaire,106.65,5168.1,Non
Femme,1,Non,1,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque electronique,70.55,70.55,Oui
Homme,1,Non,5,Non,Fibre optique,Oui,Non,Mensuel,Oui,Cheque papier,70.25,331.9,Oui
Homme,0,Oui,1,Non,DSL,Oui,Non,Mensuel,Oui,Virement bancaire,70.45,70.45,Non
Femme,0,Non,49,Non,DSL,Oui,Non,Bisannuel,Oui,Virement bancaire,74.45,3721.9,Non
Homme,0,Oui,72,Oui,Fibre optique,Oui,Oui,Bisannuel,Non,Virement bancaire,105.25,7609.75,Non
Homme,0,Non,8,Oui,Fibre optique,Oui,Oui,Mensuel,Oui,Virement bancaire,85.65,659.45,Non
